Naslov;Lokacija;Obcina;Cena;VelikostM2;ZemljisteM2;StSob;LetoGradnje;EnergetskiRazred;CenaNaM2;VrstaObjekta;DatumScrapa;Url
BRITOF, VOGE;Britof;;648180;200.0;376.0;;2008;;3240.9;Dvojček;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/britof-voge-hisa_7133291/
CERKLJE NA GORENJSKEM, ŠMARTNO;Cerklje Na Gorenjskem;;270000;179.3;887.0;;;;1505.86;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/cerklje-na-gorenjskem-smartno-hisa_6968136/
ČETENA RAVAN, STARI VRH;Četena Ravan;;300000;110.0;1250.0;;1990;;2727.27;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/cetena-ravan-stari-vrh-hisa_6940585/
ČRNIVEC;Črnivec;;890000;495.9;1467.0;;2006;;1794.72;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/crnivec-hisa_7278628/
ČRNIVEC;Črnivec;;690000;633.9;2500.0;;1980;;1088.5;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/crnivec-hisa_6506091/
DOVJE;Dovje;;249999;194.4;79.0;;;;1286.0;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/dovje-hisa_7092410/
GORENJA DOBRAVA;Gorenja Dobrava;;249000;120.0;5812.0;;;;2075.0;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gorenja-dobrava-hisa_7310159/
GORICA;Gorica;;690000;331.8;10122.0;;1973;;2079.57;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gorica-hisa_7255316/
GORICA;Gorica;;690000;332.0;10000.0;;1978;;2078.31;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gorica-hisa_7290746/
GOZD MARTULJEK;Gozd Martuljek;;489000;173.9;;;1975;;2811.96;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7049412/
GOZD MARTULJEK;Gozd Martuljek;;1490000;184.7;6578.0;;1957;;8067.14;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7262809/
GOZD MARTULJEK;Gozd Martuljek;;999999;216.3;208.0;;1982;;4623.2;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7127659/
GOZD MARTULJEK;Gozd Martuljek;;1150000;368.27;450.0;;1988;;3122.71;Dvojček;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7303444/
GOZD MARTULJEK;Gozd Martuljek;;1250000;1250.0;;;1939;;1000.0;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7286977/
HLEBCE;Hlebce;;389000;90.0;612.0;;1997;;4322.22;Dvostanovanjska;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/hlebce-hisa_6998454/
ILOVKA;Ilovka;;842000;334.0;989.0;;2013;;2520.96;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/ilovka-hisa_7022967/
JAVORJE, MIRNA IN RAZGLEDNA LOKACIJA;Javorje;;250000;64.6;402.0;;;;3869.97;Vrstna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/javorje-mirna-in-razgledna-lokacija-hisa_7122778/
JAVORNIŠKI ROVT;Javorniški Rovt;;395000;112.2;3291.0;;2024;;3520.5;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/javorniski-rovt-hisa_7148392/
JAVORNIŠKI ROVT, ČUDOVITA LOKACIJA Z RAZGLEDOM;Javorniški Rovt;;580000;125.0;26000.0;;;;4640.0;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/javorniski-rovt-cudovita-lokacija-z-razgledom-hisa_7308317/
JESENICE;Jesenice;;239000;165.0;376.0;;1937;;1448.48;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_6588072/
JESENICE;Jesenice;;225000;187.2;394.0;;1964;;1201.92;Samostojna;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7300880/
JESENICE;Jesenice;;330000;242.0;428.0;;1963;;1363.64;Dvojček;2026-04-06 16:23:56;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7303417/
JESENICE;Jesenice;;2200000;296.8;15293.0;;1921;;7412.4;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7251584/
JESENICE;Jesenice;;459000;508.7;325.0;;1909;;902.3;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_6919253/
KAMNA GORICA;Kamna Gorica;;225000;77.7;1612.0;;;;2895.75;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kamna-gorica-hisa_7305867/
KOČNA, BLED - GORJE - ZASIP;Kočna;;580000;258.9;710.0;;2012;;2240.25;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kocna-bled-gorje-zasip-hisa_7077090/
KOPRIVNIK V BOHINJU;Koprivnik V Bohinju;;697000;130.7;7000.0;;1997;;5332.82;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/koprivnik-v-bohinju-hisa_7259417/
KRANJ;Kranj;;239000;67.0;232.0;;1948;;3567.16;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6939004/
KRANJ;Kranj;;360000;107.0;250.0;;2025;;3364.49;Dvojček;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7078657/
KRANJ;Kranj;;250000;125.0;250.0;;1925;;2000.0;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7001642/
KRANJ;Kranj;;540000;150.0;200.0;;2025;;3600.0;Dvojček;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6911624/
KRANJ;Kranj;;270000;158.0;200.0;;1926;;1708.86;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7277097/
KRANJ;Kranj;;398000;162.0;247.0;;1992;;2456.79;Vrstna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7278663/
KRANJ;Kranj;;374000;176.0;374.0;;2025;;2125.0;Dvojček;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7275633/
KRANJ;Kranj;;420000;180.6;807.0;;1968;;2325.58;Dvojček;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7183874/
KRANJ;Kranj;;490000;230.0;144.0;;1995;;2130.43;Vrstna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7305786/
KRANJ;Kranj;;630000;230.2;211.0;;1950;;2736.75;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6940074/
KRANJ;Kranj;;422000;288.0;718.0;;1973;;1465.28;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6908652/
KRANJ;Kranj;;450000;293.0;416.0;;1974;;1535.84;Vrstna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6945100/
KRANJ;Kranj;;950000;320.0;;;;;2968.75;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7306543/
KRANJ;Kranj;;710000;333.8;574.0;;1997;;2127.02;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7073714/
KRANJ;Kranj;;798000;517.7;;;;;1541.43;Drugo;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7279310/
KRANJ;Kranj;;775000;517.91;932.0;;1995;;1496.4;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7287425/
KRANJ, BRITOF, MIRNA LOKACIJA;Kranj;;490000;310.4;844.0;;1972;;1578.61;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-britof-mirna-lokacija-hisa_7308315/
KRANJ, CENTER;Kranj;;450000;437.0;;;1900;;1029.75;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-center-hisa_7197561/
KRANJ, CENTER MESTA;Kranj;;260000;108.0;108.0;;1949;;2407.41;Vrstna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-center-mesta-hisa_7256223/
KRANJ, DRULOVKA;Kranj;;493000;140.0;26433.0;;2009;;3521.43;Samostojna;2026-04-06 16:24:01;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7200078/
KRANJ, DRULOVKA;Kranj;;395000;284.0;200.0;;1993;;1390.85;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7184414/
KRANJ, DRULOVKA;Kranj;;395000;284.0;200.0;;1993;;1390.85;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7260634/
KRANJ, MESTNO SREDIŠČE;Kranj;;798000;517.0;421.0;;;;1543.52;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-mestno-sredisce-hisa_7074496/
KRANJ, POD JOŠTOM;Kranj;;519000;90.0;615.0;;1997;;5766.67;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-pod-jostom-hisa_7303038/
KRANJ, PRIMSKOVO, IV. PGF;Kranj;;549000;130.0;194.0;;2026;;4223.08;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-primskovo-iv-pgf-hisa_7273667/
KRANJ, SREDNJE BITNJE;Kranj;;575000;238.0;550.0;;2001;;2415.97;Samostojna;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-srednje-bitnje-hisa_7308200/
KRANJ, ŠVABSKA VAS;Kranj;;359000;161.2;580.0;;1943;;2227.05;Dvojček;2026-04-06 16:24:06;https://www.nepremicnine.net/oglasi-prodaja/kranj-svabska-vas-hisa_7231515/
