VrstaObjekta;VelikostM2;LetoGradnje;EnergetskiRazred;Lokacija;ZemljisteM2;StSob;Url
Samostojna;332.0;1978;;Gorica;10000.0;;https://www.nepremicnine.net/oglasi-prodaja/gorica-hisa_7290746/
Dvostanovanjska;173.9;1975;;Gozd Martuljek;;;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7049412/
Samostojna;184.7;1957;;Gozd Martuljek;6578.0;;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7262809/
Samostojna;216.3;1982;;Gozd Martuljek;208.0;;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7127659/
Dvojček;368.27;1988;;Gozd Martuljek;450.0;;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7303444/
Samostojna;1250.0;1939;;Gozd Martuljek;;;https://www.nepremicnine.net/oglasi-prodaja/gozd-martuljek-hisa_7286977/
Dvostanovanjska;90.0;1997;;Hlebce;612.0;;https://www.nepremicnine.net/oglasi-prodaja/hlebce-hisa_6998454/
Samostojna;334.0;2013;;Ilovka;989.0;;https://www.nepremicnine.net/oglasi-prodaja/ilovka-hisa_7022967/
Vrstna;64.6;;;Javorje;402.0;;https://www.nepremicnine.net/oglasi-prodaja/javorje-mirna-in-razgledna-lokacija-hisa_7122778/
Samostojna;112.2;2024;;Javorniški Rovt;3291.0;;https://www.nepremicnine.net/oglasi-prodaja/javorniski-rovt-hisa_7148392/
Samostojna;125.0;;;Javorniški Rovt;26000.0;;https://www.nepremicnine.net/oglasi-prodaja/javorniski-rovt-cudovita-lokacija-z-razgledom-hisa_7308317/
Samostojna;165.0;1937;;Jesenice;376.0;;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_6588072/
Samostojna;187.2;1964;;Jesenice;394.0;;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7300880/
Dvojček;242.0;1963;;Jesenice;428.0;;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7303417/
Samostojna;296.8;1921;;Jesenice;15293.0;;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_7251584/
Samostojna;508.7;1909;;Jesenice;325.0;;https://www.nepremicnine.net/oglasi-prodaja/jesenice-hisa_6919253/
Samostojna;77.7;;;Kamna Gorica;1612.0;;https://www.nepremicnine.net/oglasi-prodaja/kamna-gorica-hisa_7305867/
Samostojna;258.9;2012;;Kočna;710.0;;https://www.nepremicnine.net/oglasi-prodaja/kocna-bled-gorje-zasip-hisa_7077090/
Samostojna;130.7;1997;;Koprivnik V Bohinju;7000.0;;https://www.nepremicnine.net/oglasi-prodaja/koprivnik-v-bohinju-hisa_7259417/
Samostojna;67.0;1948;;Kranj;232.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6939004/
Dvojček;107.0;2025;;Kranj;250.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7078657/
Samostojna;125.0;1925;;Kranj;250.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7001642/
Dvojček;150.0;2025;;Kranj;200.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6911624/
Samostojna;158.0;1926;;Kranj;200.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7277097/
Vrstna;162.0;1992;;Kranj;247.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7278663/
Dvojček;176.0;2025;;Kranj;374.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7275633/
Dvojček;180.6;1968;;Kranj;807.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7183874/
Vrstna;230.0;1995;;Kranj;144.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7305786/
Samostojna;230.2;1950;;Kranj;211.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6940074/
Samostojna;288.0;1973;;Kranj;718.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6908652/
Vrstna;293.0;1974;;Kranj;416.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_6945100/
Samostojna;320.0;;;Kranj;;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7306543/
Samostojna;333.8;1997;;Kranj;574.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7073714/
Drugo;517.7;;;Kranj;;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7279310/
Samostojna;517.91;1995;;Kranj;932.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-hisa_7287425/
Samostojna;310.4;1972;;Kranj;844.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-britof-mirna-lokacija-hisa_7308315/
Samostojna;437.0;1900;;Kranj;;;https://www.nepremicnine.net/oglasi-prodaja/kranj-center-hisa_7197561/
Vrstna;108.0;1949;;Kranj;108.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-center-mesta-hisa_7256223/
Samostojna;140.0;2009;;Kranj;26433.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7200078/
Dvojček;284.0;1993;;Kranj;200.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7184414/
Dvojček;284.0;1993;;Kranj;200.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-drulovka-hisa_7260634/
Samostojna;517.0;;;Kranj;421.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-mestno-sredisce-hisa_7074496/
Samostojna;90.0;1997;;Kranj;615.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-pod-jostom-hisa_7303038/
Dvojček;130.0;2026;;Kranj;194.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-primskovo-iv-pgf-hisa_7273667/
Samostojna;238.0;2001;;Kranj;550.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-srednje-bitnje-hisa_7308200/
Dvojček;161.2;1943;;Kranj;580.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-svabska-vas-hisa_7231515/
Samostojna;300.0;1940;;Kranj;653.0;;https://www.nepremicnine.net/oglasi-prodaja/kranj-urbana-in-mirna-lokacija-hisa_7278718/
Samostojna;115.0;1973;;Kranjska Gora;168.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7120043/
Samostojna;117.59;1973;;Kranjska Gora;1708.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7291970/
Trojček;154.0;2025;;Kranjska Gora;30.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7308724/
Trojček;156.0;2025;;Kranjska Gora;30.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7308729/
Samostojna;192.75;1995;;Kranjska Gora;1515.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7014790/
Samostojna;218.0;1948;;Kranjska Gora;;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6965391/
Samostojna;236.0;1981;;Kranjska Gora;899.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6971940/
Samostojna;248.0;1962;;Kranjska Gora;667.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7292457/
Samostojna;248.8;1962;;Kranjska Gora;667.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7119932/
Samostojna;305.0;1926;;Kranjska Gora;831.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7304227/
Samostojna;305.0;2001;;Kranjska Gora;1229.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7281893/
Samostojna;335.0;1969;;Kranjska Gora;534.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6999418/
Samostojna;350.0;2005;;Kranjska Gora;900.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_7293554/
Samostojna;375.0;1926;;Kranjska Gora;831.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6847497/
Samostojna;590.0;1948;;Kranjska Gora;;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-hisa_6965393/
Dvojček;89.5;1965;;Kranjska Gora;439.0;;https://www.nepremicnine.net/oglasi-prodaja/kranjska-gora-gozd-martuljek-hisa_7298908/
Dvojček;144.0;2023;;Križe;302.0;;https://www.nepremicnine.net/oglasi-prodaja/krize-hisa_6889858/
Dvojček;144.0;2023;;Križe;588.0;;https://www.nepremicnine.net/oglasi-prodaja/krize-hisa_6666420/
Samostojna;159.3;1965;;Krnica;1042.0;;https://www.nepremicnine.net/oglasi-prodaja/krnica-hisa_7281883/
Dvojček;177.0;2003;;Kropa;158.0;;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7302488/
Samostojna;220.0;;;Kropa;50.0;;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7308233/
Samostojna;270.0;1900;;Kropa;402.0;;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_7246374/
Samostojna;280.0;;;Kropa;189.0;;https://www.nepremicnine.net/oglasi-prodaja/kropa-hisa_6826465/
Samostojna;280.0;2013;;Lahovče;680.0;;https://www.nepremicnine.net/oglasi-prodaja/lahovce-hisa_7107342/
Samostojna;203.2;;;Lancovo;1231.0;;https://www.nepremicnine.net/oglasi-prodaja/lancovo-hisa_7307414/
Samostojna;356.5;1962;;Lesce;765.0;;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7281543/
Samostojna;505.1;2013;;Lesce;1490.0;;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7209095/
Dvostanovanjska;539.0;2013;;Lesce;149.0;;https://www.nepremicnine.net/oglasi-prodaja/lesce-hisa_7308269/
Samostojna;200.0;1919;;Lesce;371.0;;https://www.nepremicnine.net/oglasi-prodaja/lesce-center-hisa_6667632/
Samostojna;293.5;;;Lesce;439.0;;https://www.nepremicnine.net/oglasi-prodaja/lesce-mirno-naselje-hisa_7106672/
Samostojna;182.0;1975;;Letenice;4000.0;;https://www.nepremicnine.net/oglasi-prodaja/letenice-hisa_6782858/
Dvostanovanjska;490.0;2006;;Mače;1149.0;;https://www.nepremicnine.net/oglasi-prodaja/mace-hisa_7154619/
Samostojna;373.0;1910;;Mevkuž;;;https://www.nepremicnine.net/oglasi-prodaja/mevkuz-hisa_7074183/
Samostojna;341.0;1980;;Mlaka Pri Kranju;387.0;;https://www.nepremicnine.net/oglasi-prodaja/mlaka-pri-kranju-hisa_6845480/
Samostojna;227.0;1980;;Mojstrana;507.0;;https://www.nepremicnine.net/oglasi-prodaja/mojstrana-hisa_7033601/
Samostojna;228.0;1978;;Naklo;615.0;;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7129378/
Samostojna;228.0;1978;;Naklo;615.0;;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7114830/
Samostojna;228.0;1978;;Naklo;615.0;;https://www.nepremicnine.net/oglasi-prodaja/naklo-hisa_7255008/
Samostojna;406.48;1988;;Nomenj;618.0;;https://www.nepremicnine.net/oglasi-prodaja/nomenj-hisa_6783951/
Samostojna;110.0;2007;;Podhom;972.0;;https://www.nepremicnine.net/oglasi-prodaja/podhom-hisa_7270063/
Samostojna;178.3;1902;;Podkoren;404.0;;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7255237/
Samostojna;205.0;;;Podkoren;1689.0;;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7072547/
Samostojna;270.0;;;Podkoren;1851.0;;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7015221/
Samostojna;286.3;1980;;Podkoren;603.0;;https://www.nepremicnine.net/oglasi-prodaja/podkoren-hisa_7296503/
Samostojna;349.0;;;Podljubelj;1838.0;;https://www.nepremicnine.net/oglasi-prodaja/podljubelj-hisa_7303365/
Samostojna;449.6;2007;;Podnart;2215.0;;https://www.nepremicnine.net/oglasi-prodaja/podnart-hisa_7308800/
Samostojna;135.19;2026;;Podreča;545.0;;https://www.nepremicnine.net/oglasi-prodaja/podreca-hisa_7263141/
Dvostanovanjska;300.0;1974;;Polje;638.0;;https://www.nepremicnine.net/oglasi-prodaja/polje-bohinj-hisa_6604871/
Samostojna;200.0;1996;;Potoče;600.0;;https://www.nepremicnine.net/oglasi-prodaja/potoce-hisa_6857709/
Samostojna;275.2;;;Praše;1149.0;;https://www.nepremicnine.net/oglasi-prodaja/prase-hisa_7055415/
Samostojna;144.0;1985;;Preddvor;509.0;;https://www.nepremicnine.net/oglasi-prodaja/preddvor-okolica-kranja-hisa_6811323/
Dvostanovanjska;169.4;1976;;Radovljica;88.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7303686/
Dvojček;170.3;1990;;Radovljica;297.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7074451/
Samostojna;195.7;1970;;Radovljica;6021.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_7306029/
Samostojna;246.0;;;Radovljica;120.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6240271/
Samostojna;427.0;1900;;Radovljica;854.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-hisa_6062360/
Samostojna;126.7;2024;;Radovljica;570.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-lancovo-hisa_6777544/
Dvostanovanjska;170.0;1951;;Radovljica;935.0;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-ob-potoku-na-robu-naselja-hisa_7308177/
Samostojna;331.8;1978;;Radovljica;;;https://www.nepremicnine.net/oglasi-prodaja/radovljica-okolica-hisa_7308313/
Samostojna;291.18;2000;;Reteče;1000.0;;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7303570/
Samostojna;518.2;;;Reteče;9555.0;;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7271585/
Samostojna;518.2;;;Reteče;9555.0;;https://www.nepremicnine.net/oglasi-prodaja/retece-hisa_7271586/
Samostojna;168.4;2019;;Ribno;711.0;;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7106723/
Samostojna;168.4;2022;;Ribno;711.0;;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7261783/
Samostojna;228.0;2015;;Ribno;480.0;;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7119509/
Samostojna;519.2;1984;;Ribno;1123.0;;https://www.nepremicnine.net/oglasi-prodaja/ribno-hisa_7126177/
Samostojna;245.0;1990;;Selca;;;https://www.nepremicnine.net/oglasi-prodaja/selca-hisa_7255190/
Samostojna;2545.0;1980;;Selca;14550.0;;https://www.nepremicnine.net/oglasi-prodaja/selca-hisa_7117454/
Dvojček;176.0;;;Slovenski Javornik;;;https://www.nepremicnine.net/oglasi-prodaja/slovenski-javornik-hisa_7302837/
Samostojna;361.5;2022;;Spodnja Lipnica;3070.0;;https://www.nepremicnine.net/oglasi-prodaja/spodnja-lipnica-hisa_7277205/
Samostojna;1500.0;1950;;Spodnje Duplje;3918.0;;https://www.nepremicnine.net/oglasi-prodaja/spodnje-duplje-hisa_7272215/
Samostojna;1500.0;1950;;Spodnje Duplje;6403.0;;https://www.nepremicnine.net/oglasi-prodaja/spodnje-duplje-hisa_7005685/
Dvostanovanjska;158.58;2024;;Spodnje Gorje;5915.0;;https://www.nepremicnine.net/oglasi-prodaja/spodnje-gorje-hisa_6751881/
Samostojna;324.0;1986;;Srednja Vas Pri Šenčurju;800.0;;https://www.nepremicnine.net/oglasi-prodaja/srednja-vas-pri-sencurju-hisa_6973015/
